"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2013","92.70","93.36","93.57","91.91","267.28K","-0.60%"
"04/04/2013","93.26","94.50","94.84","92.12","355.32K","-1.26%"
"04/03/2013","94.45","96.93","96.96","94.18","302.24K","-2.82%"
"04/02/2013","97.19","97.00","97.44","95.91","209.88K","0.12%"
"04/01/2013","97.07","97.36","97.80","95.92","192.40K","-0.16%"
"03/28/2013","97.23","96.68","97.35","96.26","174.39K","0.67%"
"03/27/2013","96.58","96.18","96.84","95.58","207.78K","0.25%"
"03/26/2013","96.34","94.75","96.45","94.67","214.35K","1.61%"
"03/25/2013","94.81","93.72","95.65","93.70","270.65K","1.17%"
"03/22/2013","93.71","92.33","93.94","92.33","202.67K","1.36%"
"03/21/2013","92.45","93.40","93.53","91.84","214.13K","-0.55%"
"03/20/2013","92.96","92.09","93.28","92.09","27.76K","0.87%"
"03/19/2013","92.16","93.80","94.09","92.03","96.80K","-1.69%"
"03/18/2013","93.74","93.26","93.94","91.76","151.21K","0.31%"
"03/15/2013","93.45","93.15","93.84","93.00","175.61K","0.45%"
"03/14/2013","93.03","92.51","93.25","92.01","174.70K","0.55%"
"03/13/2013","92.52","92.62","93.40","91.91","251.34K","-0.02%"
"03/12/2013","92.54","91.94","93.47","91.60","283.11K","0.52%"
"03/11/2013","92.06","91.83","92.15","90.89","194.61K","0.12%"
"03/08/2013","91.95","91.42","92.03","90.83","219.96K","0.43%"
"03/07/2013","91.56","90.42","91.73","90.22","234.92K","1.25%"
"03/06/2013","90.43","90.83","91.17","89.55","244.17K","-0.43%"
"03/05/2013","90.82","90.23","90.99","90.02","209.87K","0.78%"
"03/04/2013","90.12","90.71","90.91","89.33","231.11K","-0.62%"
"03/01/2013","90.68","91.76","91.97","90.04","248.47K","-1.49%"
"02/28/2013","92.05","92.89","93.18","91.57","218.12K","-0.77%"
"02/27/2013","92.76","92.72","93.37","92.18","201.51K","0.14%"
"02/26/2013","92.63","91.92","93.44","91.92","230.84K","-0.52%"
"02/25/2013","93.11","93.23","94.46","92.07","217.52K","-0.02%"
"02/22/2013","93.13","92.96","93.48","92.44","204.26K","0.31%"
"02/21/2013","92.84","94.72","94.92","92.63","286.43K","-1.72%"
"02/20/2013","94.46","96.66","97.07","93.92","30.29K","-2.28%"
"02/19/2013","96.66","95.97","96.73","95.25","118.31K","0.83%"
"02/15/2013","95.86","97.34","97.47","95.21","223.59K","-1.49%"
"02/14/2013","97.31","97.17","97.71","96.77","174.60K","0.31%"
"02/13/2013","97.01","97.59","98.11","96.63","246.44K","-0.51%"
